Order_ID,Product_Name,Category,Quantity,Price_per_Unit,Total_Price,Order_Date,Store_Location,Stock_Available, Customer_Rating ,Revenue_Category,Order_Month,Rating_Category,Month
153,Navratan Mix,Snacks,13,25,325,05-08-2024,Ahmedabad,844, 4.10 ,Low,August,Good,2024-08
154,Bhel Puri,Snacks,15,35,525,15-09-2024,Pune,55, 3.40 ,Medium,September,Average,2024-09
155,Chana Dal Namkeen,Snacks,15,30,450,28-03-2025,Delhi,208, 2.80 ,Low,March,Bad,2025-03
156,Masala Papad,Appetizers,15,10,150,16-01-2025,Jaipur,124, 3.76 ,Low,January,Average,2025-01
157,Mathri,Snacks,8,40,320,07-01-2025,Bangalore,318, 3.90 ,Low,January,Average,2025-01
158,Navratan Mix,Snacks,8,25,200,22-09-2024,Mumbai,472, 4.10 ,Low,September,Good,2024-09
159,Rasgulla Tin,Sweets,16,80,1280,29-03-2025,Kolkata,521, 3.50 ,High,March,Average,2025-03
160,Chana Dal Namkeen,Snacks,16,30,480,25-01-2025,Chennai,467, 3.50 ,Low,January,Average,2025-01
161,Mathri,Snacks,17,40,680,25-11-2024,Bangalore,884, 4.40 ,Medium,November,Good,2024-11
162,Soan Papdi,Sweets,11,70,770,26-05-2025,Ahmedabad,273, 3.20 ,Medium,May,Average,2025-05
163,Masala Papad,Appetizers,19,10,190,24-01-2025,Lucknow,675, 2.90 ,Low,January,Bad,2025-01
164,Bhel Puri,Snacks,16,35,560,14-11-2024,Hyderabad,340, 3.90 ,Medium,November,Average,2024-11
165,Chana Dal Namkeen,Snacks,11,30,330,30-10-2024,Chennai,714, 3.50 ,Low,October,Average,2024-10
166,Soan Papdi,Sweets,2,70,140,05-09-2024,Hyderabad,762, 4.80 ,Low,September,Good,2024-09
167,Soan Papdi,Sweets,13,70,910,04-08-2024,Bangalore,507, 2.80 ,Medium,August,Bad,2024-08
168,Mathri,Snacks,11,40,440,26-12-2024,Mumbai,895, 2.70 ,Low,December,Bad,2024-12
169,Chana Dal Namkeen,Snacks,1,30,30,20-12-2024,Bangalore,419, 4.90 ,Low,December,Good,2024-12
170,Navratan Mix,Snacks,16,25,400,17-07-2024,Kolkata,346, 3.50 ,Low,July,Average,2024-07
171,Navratan Mix,Snacks,11,25,275,01-04-2025,Ahmedabad,389, 4.10 ,Low,April,Good,2025-04
172,Chana Dal Namkeen,Snacks,18,30,540,30-06-2024,Delhi,632, 4.10 ,Medium,June,Good,2024-06
173,Masala Papad,Appetizers,8,10,80,12-05-2025,Mumbai,444, 4.40 ,Low,May,Good,2025-05
174,Navratan Mix,Snacks,15,25,375,24-07-2024,Bangalore,710, 2.60 ,Low,July,Bad,2024-07
175,Kaju Katli,Sweets,2,150,300,10-08-2024,Kolkata,367, 2.90 ,Low,August,Bad,2024-08
176,Bhel Puri,Snacks,14,35,490,10-02-2025,Lucknow,698, 2.90 ,Low,February,Bad,2025-02
177,Navratan Mix,Snacks,20,25,500,13-08-2024,Pune,634, 3.70 ,Medium,August,Average,2024-08
178,Mathri,Snacks,5,40,200,15-04-2025,Chennai,472, 3.60 ,Low,April,Average,2025-04
179,Aloo Bhujia,Snacks,15,20,300,03-03-2025,Kolkata,693, 2.70 ,Low,March,Bad,2025-03
180,Kaju Katli,Sweets,19,150,2850,22-11-2024,Kolkata,654, 4.20 ,High,November,Good,2024-11
181,Chana Dal Namkeen,Snacks,10,30,300,29-01-2025,Chennai,393, 2.80 ,Low,January,Bad,2025-01
182,Soan Papdi,Sweets,19,70,1330,06-07-2024,Hyderabad,588, 4.20 ,High,July,Good,2024-07
183,Aloo Bhujia,Snacks,13,20,260,08-11-2024,Kolkata,8, 4.20 ,Low,November,Good,2024-11
184,Aloo Bhujia,Snacks,20,20,400,07-11-2024,Jaipur,852, 3.20 ,Low,November,Average,2024-11
185,Gulab Jamun Tin,Sweets,20,90,1800,29-01-2025,Hyderabad,224, 4.10 ,High,January,Good,2025-01
186,Rasgulla Tin,Sweets,4,80,320,10-12-2024,Delhi,316, 2.60 ,Low,December,Bad,2024-12
187,Kaju Katli,Sweets,5,150,750,03-01-2025,Mumbai,931, 4.40 ,Medium,January,Good,2025-01
188,Rasgulla Tin,Sweets,7,80,560,17-09-2024,Bangalore,805, 4.90 ,Medium,September,Good,2024-09
189,Bhel Puri,Snacks,17,35,595,12-01-2025,Kolkata,850, 4.80 ,Medium,January,Good,2025-01
190,Chana Dal Namkeen,Snacks,10,30,300,12-05-2025,Hyderabad,823, 4.90 ,Low,May,Good,2025-05
191,Rasgulla Tin,Sweets,8,80,640,16-06-2024,Pune,990, 3.90 ,Medium,June,Average,2024-06
192,Navratan Mix,Snacks,13,25,325,03-03-2025,Delhi,270, 3.60 ,Low,March,Average,2025-03
193,Masala Papad,Appetizers,19,10,190,18-03-2025,Pune,842, 3.40 ,Low,March,Average,2025-03
194,Gulab Jamun Tin,Sweets,16,90,1440,26-07-2024,Delhi,634, 3.90 ,High,July,Average,2024-07
195,Mathri,Snacks,8,40,320,03-03-2025,Mumbai,650, 4.80 ,Low,March,Good,2025-03
196,Masala Papad,Appetizers,14,10,140,21-05-2025,Mumbai,143, 3.76 ,Low,May,Average,2025-05
197,Aloo Bhujia,Snacks,10,20,200,06-01-2025,Jaipur,118, 4.70 ,Low,January,Good,2025-01
198,Rasgulla Tin,Sweets,13,80,1040,30-03-2025,Jaipur,379, 4.40 ,High,March,Good,2025-03
199,Bhel Puri,Snacks,14,35,490,23-09-2024,Lucknow,760, 4.70 ,Low,September,Good,2024-09
200,Navratan Mix,Snacks,16,25,400,06-04-2025,Lucknow,417, 3.20 ,Low,April,Average,2025-04
201,Kaju Katli,Sweets,7,150,1050,15-02-2025,Jaipur,455, 4.60 ,High,February,Good,2025-02
202,Navratan Mix,Snacks,12,25,300,22-10-2024,Ahmedabad,923, 3.40 ,Low,October,Average,2024-10
203,Soan Papdi,Sweets,9,70,630,25-07-2024,Chennai,991, 4.60 ,Medium,July,Good,2024-07
204,Chana Dal Namkeen,Snacks,3,30,90,03-10-2024,Chennai,657, 4.90 ,Low,October,Good,2024-10
205,Aloo Bhujia,Snacks,11,20,220,27-11-2024,Chennai,128, 3.00 ,Low,November,Average,2024-11
206,Bhel Puri,Snacks,7,35,245,12-08-2024,Lucknow,221, 3.10 ,Low,August,Average,2024-08
207,Rasgulla Tin,Sweets,20,80,1600,05-12-2024,Delhi,283, 2.90 ,High,December,Bad,2024-12
208,Rasgulla Tin,Sweets,18,80,1440,13-06-2024,Kolkata,817, 4.20 ,High,June,Good,2024-06
209,Aloo Bhujia,Snacks,5,20,100,19-03-2025,Delhi,366, 3.10 ,Low,March,Average,2025-03
210,Kaju Katli,Sweets,1,150,150,18-05-2025,Bangalore,271, 4.40 ,Low,May,Good,2025-05
211,Bhel Puri,Snacks,4,35,140,18-03-2025,Mumbai,487, 3.40 ,Low,March,Average,2025-03
212,Mathri,Snacks,4,40,160,22-09-2024,Jaipur,515, 4.00 ,Low,September,Good,2024-09
213,Bhel Puri,Snacks,10,35,350,23-12-2024,Jaipur,658, 2.70 ,Low,December,Bad,2024-12
214,Chana Dal Namkeen,Snacks,13,30,390,03-04-2025,Pune,702, 4.30 ,Low,April,Good,2025-04
215,Chana Dal Namkeen,Snacks,3,30,90,20-08-2024,Mumbai,329, 2.70 ,Low,August,Bad,2024-08
216,Masala Papad,Appetizers,20,10,200,26-12-2024,Lucknow,561, 3.50 ,Low,December,Average,2024-12
217,Mathri,Snacks,17,40,680,01-06-2025,Kolkata,464, 3.60 ,Medium,June,Average,2025-06
218,Navratan Mix,Snacks,18,25,450,23-07-2024,Chennai,440, 3.10 ,Low,July,Average,2024-07
219,Kaju Katli,Sweets,15,150,2250,16-05-2025,Pune,425, 3.30 ,High,May,Average,2025-05
220,Kaju Katli,Sweets,9,150,1350,09-02-2025,Hyderabad,976, 4.80 ,High,February,Good,2025-02
221,Navratan Mix,Snacks,3,25,75,05-10-2024,Mumbai,95, 4.40 ,Low,October,Good,2024-10
222,Kaju Katli,Sweets,5,150,750,04-05-2025,Ahmedabad,61, 3.90 ,Medium,May,Average,2025-05
223,Kaju Katli,Sweets,4,150,600,15-02-2025,Pune,362, 4.90 ,Medium,February,Good,2025-02
224,Soan Papdi,Sweets,2,70,140,26-12-2024,Kolkata,614, 2.80 ,Low,December,Bad,2024-12
225,Bhel Puri,Snacks,7,35,245,03-02-2025,Bangalore,672, 4.60 ,Low,February,Good,2025-02
226,Kaju Katli,Sweets,18,150,2700,28-08-2024,Hyderabad,117, 3.90 ,High,August,Average,2024-08
227,Soan Papdi,Sweets,18,70,1260,10-08-2024,Lucknow,628, 3.90 ,High,August,Average,2024-08
228,Mathri,Snacks,9,40,360,04-11-2024,Delhi,184, 4.40 ,Low,November,Good,2024-11
229,Kaju Katli,Sweets,12,150,1800,04-04-2025,Delhi,185, 3.90 ,High,April,Average,2025-04
230,Soan Papdi,Sweets,3,70,210,13-08-2024,Bangalore,758, 2.60 ,Low,August,Bad,2024-08
231,Bhel Puri,Snacks,7,35,245,07-01-2025,Pune,429, 2.90 ,Low,January,Bad,2025-01
232,Masala Papad,Appetizers,11,10,110,10-04-2025,Lucknow,610, 2.60 ,Low,April,Bad,2025-04
233,Rasgulla Tin,Sweets,20,80,1600,05-06-2025,Delhi,690, 3.60 ,High,June,Average,2025-06
234,Soan Papdi,Sweets,16,70,1120,03-01-2025,Lucknow,452, 3.00 ,High,January,Average,2025-01
235,Bhel Puri,Snacks,4,35,140,03-06-2025,Hyderabad,440, 4.20 ,Low,June,Good,2025-06
236,Mathri,Snacks,16,40,640,12-06-2024,Ahmedabad,683, 3.10 ,Medium,June,Average,2024-06
237,Mathri,Snacks,2,40,80,30-01-2025,Delhi,209, 3.00 ,Low,January,Average,2025-01
238,Rasgulla Tin,Sweets,9,80,720,15-10-2024,Kolkata,335, 3.70 ,Medium,October,Average,2024-10
239,Soan Papdi,Sweets,6,70,420,18-12-2024,Bangalore,389, 3.10 ,Low,December,Average,2024-12
240,Bhel Puri,Snacks,12,35,420,19-06-2024,Mumbai,406, 2.60 ,Low,June,Bad,2024-06
241,Aloo Bhujia,Snacks,15,20,300,25-07-2024,Mumbai,882, 3.60 ,Low,July,Average,2024-07
242,Soan Papdi,Sweets,14,70,980,07-06-2025,Kolkata,117, 4.90 ,Medium,June,Good,2025-06
243,Rasgulla Tin,Sweets,20,80,1600,30-10-2024,Jaipur,851, 3.40 ,High,October,Average,2024-10
