Order_ID,Product_Name,Category,Quantity,Price_per_Unit,Total_Price,Order_Date,Store_Location,Stock_Available,Customer_Rating
30,Gulab Jamun Tin,Sweets,10,90,900,2025-03-11,Pune,687,3.6
31,Bhel Puri,Snacks,15,35,525,2025-01-09,Mumbai,253,3.3
32,Mathri,Snacks,18,40,720,2024-11-21,Chennai,602,2.7
33,Aloo Bhujia,Snacks,8,20,160,2024-09-05,Mumbai,927,
34,Kaju Katli,Sweets,3,150,450,2024-12-03,Ahmedabad,243,3.7
35,Bhel Puri,Snacks,5,35,175,2025-01-26,Lucknow,590,4.5
36,Soan Papdi,Sweets,7,70,490,2024-09-28,Mumbai,99,3.4
37,Soan Papdi,Sweets,15,70,1050,2025-04-22,Delhi,689,4.1
38,Aloo Bhujia,Snacks,13,20,260,2025-05-15,Hyderabad,819,3.1
39,Gulab Jamun Tin,Sweets,18,90,1620,2024-06-14,Jaipur,143,3.2
40,Gulab Jamun Tin,Sweets,3,90,270,2025-04-02,Jaipur,827,3.9
41,Aloo Bhujia,Snacks,18,20,360,2025-04-20,Delhi,992,4.4
42,Gulab Jamun Tin,Sweets,6,90,540,2024-08-13,Pune,497,4.7
43,Aloo Bhujia,Snacks,6,20,120,2025-03-10,Pune,2,3.2
44,Chana Dal Namkeen,Snacks,10,30,300,2024-11-23,Pune,713,5.0
45,Bhel Puri,Snacks,16,35,560,2024-10-22,Bangalore,194,4.9
46,Mathri,Snacks,18,40,720,2024-09-27,Delhi,765,2.6
47,Chana Dal Namkeen,Snacks,17,30,510,2024-08-11,Ahmedabad,161,3.8
48,Rasgulla Tin,Sweets,3,80,240,2024-09-03,Lucknow,69,3.1
49,Navratan Mix,Snacks,19,25,475,2025-04-04,Chennai,592,4.0
50,Soan Papdi,Sweets,19,70,1330,2024-10-20,Lucknow,535,3.2
51,Kaju Katli,Sweets,8,150,1200,2024-07-21,Kolkata,405,4.1
52,Chana Dal Namkeen,Snacks,11,30,330,2024-07-18,Mumbai,9,5.0
53,Navratan Mix,Snacks,3,25,75,2024-11-06,Ahmedabad,218,2.8
54,Kaju Katli,Sweets,3,150,450,2024-07-19,Chennai,378,3.6
55,Bhel Puri,Snacks,10,35,350,2024-10-29,Lucknow,826,2.5
56,Bhel Puri,Snacks,10,35,350,2025-05-07,Mumbai,961,3.2
57,Navratan Mix,Snacks,18,25,450,2024-10-23,Bangalore,278,3.0
58,Kaju Katli,Sweets,7,150,1050,2025-02-01,Kolkata,517,4.8
59,Aloo Bhujia,Snacks,3,20,60,2024-09-22,Pune,849,2.5
60,Rasgulla Tin,Sweets,9,80,720,2025-04-21,Bangalore,759,4.3
61,Bhel Puri,Snacks,1,35,35,2024-06-28,Mumbai,77,4.2
62,Rasgulla Tin,Sweets,18,80,1440,2025-03-22,Delhi,854,3.9
63,Soan Papdi,Sweets,5,70,350,2024-12-07,Delhi,315,4.8
64,Aloo Bhujia,Snacks,12,20,240,2025-01-06,Chennai,698,2.8
65,Bhel Puri,Snacks,14,35,490,2024-07-30,Lucknow,767,4.8
66,Rasgulla Tin,Sweets,6,80,480,2025-06-05,Pune,25,4.8
67,Soan Papdi,Sweets,8,70,560,2024-11-06,Kolkata,163,2.8
68,Aloo Bhujia,Snacks,16,20,320,2024-07-12,Chennai,204,3.7
69,Masala Papad,Appetizers,8,10,80,2025-01-12,Chennai,24,3.5
70,Masala Papad,Appetizers,3,10,30,2024-10-03,Kolkata,359,3.5
71,Bhel Puri,Snacks,11,35,385,2025-04-30,Delhi,118,3.2
72,Mathri,Snacks,9,40,360,2025-02-11,Delhi,111,3.4
73,Kaju Katli,Sweets,14,150,2100,2025-02-07,Lucknow,523,4.7
74,Gulab Jamun Tin,Sweets,9,90,810,2025-05-21,Delhi,725,3.8
75,Bhel Puri,Snacks,7,35,245,2025-05-12,Hyderabad,441,4.2
76,Kaju Katli,Sweets,20,150,3000,2024-10-30,Hyderabad,679,4.3
77,Masala Papad,Appetizers,17,10,170,2025-01-22,Kolkata,682,3.5
78,Masala Papad,Appetizers,18,10,180,2024-08-25,Bangalore,196,4.9
79,Rasgulla Tin,Sweets,20,80,1600,2025-03-12,Lucknow,308,4.6
80,Masala Papad,Appetizers,10,10,100,2024-07-09,Chennai,440,4.0
81,Kaju Katli,Sweets,15,150,2250,2024-06-29,Jaipur,452,3.8
82,Rasgulla Tin,Sweets,3,80,240,2025-02-23,Kolkata,527,4.0
83,Navratan Mix,Snacks,8,25,200,2024-09-08,Kolkata,230,2.9
84,Aloo Bhujia,Snacks,8,20,160,2025-04-08,Jaipur,625,2.7
85,Soan Papdi,Sweets,19,70,1330,2024-10-02,Chennai,735,3.7
86,Gulab Jamun Tin,Sweets,5,90,450,2024-07-12,Delhi,914,4.4
87,Navratan Mix,Snacks,14,25,350,2025-05-10,Chennai,180,4.2
88,Chana Dal Namkeen,Snacks,2,30,60,2024-09-10,Ahmedabad,255,2.8
89,Rasgulla Tin,Sweets,15,80,1200,2025-05-14,Ahmedabad,572,4.9
90,Chana Dal Namkeen,Snacks,20,30,600,2024-07-21,Ahmedabad,436,3.9
91,Rasgulla Tin,Sweets,16,80,1280,2024-11-06,Jaipur,265,4.6
92,Masala Papad,Appetizers,17,10,170,2024-09-27,Jaipur,641,3.6
93,Masala Papad,Appetizers,8,10,80,2024-12-05,Kolkata,343,3.9
94,Rasgulla Tin,Sweets,5,80,400,2025-02-13,Chennai,392,4.3
95,Navratan Mix,Snacks,14,25,350,2025-05-01,Pune,338,3.5
96,Gulab Jamun Tin,Sweets,14,90,1260,2024-10-31,Pune,926,4.9
97,Aloo Bhujia,Snacks,19,20,380,2024-08-14,Pune,488,
98,Kaju Katli,Sweets,10,150,1500,2024-11-02,Pune,873,4.6
99,Bhel Puri,Snacks,18,35,630,2024-10-27,Lucknow,919,3.0
100,Soan Papdi,Sweets,16,70,1120,2024-09-01,Delhi,398,4.2
101,Soan Papdi,Sweets,6,70,420,2025-02-27,Jaipur,941,4.1
102,Aloo Bhujia,Snacks,13,20,260,2024-09-23,Lucknow,577,2.7
103,Soan Papdi,Sweets,5,70,350,2025-03-11,Jaipur,186,3.4
104,Gulab Jamun Tin,Sweets,15,90,1350,2025-06-10,Hyderabad,345,3.4
105,Soan Papdi,Sweets,9,70,630,2025-03-04,Mumbai,481,
106,Bhel Puri,Snacks,2,35,70,2025-02-18,Hyderabad,229,4.5
107,Aloo Bhujia,Snacks,1,20,20,2024-07-09,Chennai,204,4.1
108,Gulab Jamun Tin,Sweets,5,90,450,2025-02-03,Jaipur,685,4.9
109,Chana Dal Namkeen,Snacks,9,30,270,2025-02-13,Hyderabad,171,4.9
110,Navratan Mix,Snacks,6,25,150,2024-08-17,Kolkata,110,4.8
111,Mathri,Snacks,13,40,520,2025-01-05,Pune,964,2.7
112,Gulab Jamun Tin,Sweets,4,90,360,2025-03-22,Kolkata,870,4.5
113,Mathri,Snacks,2,40,80,2024-09-15,Hyderabad,545,3.4
114,Bhel Puri,Snacks,11,35,385,2024-08-14,Delhi,869,3.7
115,Soan Papdi,Sweets,12,70,840,2024-12-08,Jaipur,724,2.9
116,Bhel Puri,Snacks,9,35,315,2024-11-06,Lucknow,827,4.4
117,Chana Dal Namkeen,Snacks,14,30,420,2024-09-24,Lucknow,274,3.1
118,Navratan Mix,Snacks,9,25,225,2025-06-06,Jaipur,249,3.9
119,Soan Papdi,Sweets,11,70,770,2025-02-15,Delhi,506,3.0
120,Gulab Jamun Tin,Sweets,12,90,1080,2025-03-06,Kolkata,348,4.0
121,Masala Papad,Appetizers,18,10,180,2025-01-14,Delhi,529,2.7
122,Soan Papdi,Sweets,16,70,1120,2024-09-05,Ahmedabad,776,3.7
123,Chana Dal Namkeen,Snacks,15,30,450,2025-03-04,Delhi,95,3.5
124,Gulab Jamun Tin,Sweets,10,90,900,2024-10-15,Lucknow,377,3.8
125,Soan Papdi,Sweets,18,70,1260,2025-05-05,Hyderabad,360,3.2
126,Masala Papad,Appetizers,8,10,80,2025-04-06,Mumbai,738,2.8
127,Bhel Puri,Snacks,6,35,210,2025-04-09,Chennai,221,3.2
128,Mathri,Snacks,17,40,680,2024-07-03,Lucknow,289,4.6
129,Masala Papad,Appetizers,8,10,80,2024-09-08,Hyderabad,183,4.3
130,Rasgulla Tin,Sweets,9,80,720,2025-04-27,Delhi,997,3.2
131,Rasgulla Tin,Sweets,16,80,1280,2024-06-24,Mumbai,893,
132,Masala Papad,Appetizers,16,10,160,2025-04-20,Jaipur,451,4.9
133,Masala Papad,Appetizers,16,10,160,2024-10-12,Mumbai,841,3.7
134,Mathri,Snacks,2,40,80,2024-11-14,Bangalore,152,4.9
135,Navratan Mix,Snacks,8,25,200,2024-09-23,Mumbai,571,4.0
136,Mathri,Snacks,8,40,320,2024-07-07,Ahmedabad,389,3.6
137,Mathri,Snacks,14,40,560,2024-09-01,Kolkata,582,4.0
138,Navratan Mix,Snacks,7,25,175,2025-06-01,Chennai,270,2.9
139,Rasgulla Tin,Sweets,18,80,1440,2025-01-18,Mumbai,160,
140,Chana Dal Namkeen,Snacks,20,30,600,2025-05-18,Jaipur,298,
141,Masala Papad,Appetizers,10,10,100,2025-03-17,Jaipur,72,4.8
142,Mathri,Snacks,7,40,280,2024-10-12,Pune,117,4.1
143,Masala Papad,Appetizers,5,10,50,2024-09-02,Mumbai,61,3.3
144,Mathri,Snacks,10,40,400,2025-02-21,Jaipur,127,3.3
145,Soan Papdi,Sweets,9,70,630,2024-12-22,Ahmedabad,552,2.7
146,Aloo Bhujia,Snacks,14,20,280,2024-11-12,Hyderabad,618,2.7
147,Mathri,Snacks,19,40,760,2025-05-21,Delhi,783,3.2
148,Aloo Bhujia,Snacks,6,20,120,2025-06-02,Jaipur,531,4.8
149,Rasgulla Tin,Sweets,19,80,1520,2025-02-16,Pune,650,4.9
150,Chana Dal Namkeen,Snacks,12,30,360,2024-12-07,Pune,341,2.8
151,Rasgulla Tin,Sweets,11,80,880,2024-08-06,Pune,710,4.2
152,Soan Papdi,Sweets,18,70,1260,2024-09-22,Delhi,465,3.1
153,Navratan Mix,Snacks,13,25,325,2024-08-05,Ahmedabad,844,4.1
154,Bhel Puri,Snacks,15,35,525,2024-09-15,Pune,55,3.4
155,Chana Dal Namkeen,Snacks,15,30,450,2025-03-28,Delhi,208,2.8
156,Masala Papad,Appetizers,15,10,150,2025-01-16,Jaipur,124,
157,Mathri,Snacks,8,40,320,2025-01-07,Bangalore,318,3.9
158,Navratan Mix,Snacks,8,25,200,2024-09-22,Mumbai,472,4.1
159,Rasgulla Tin,Sweets,16,80,1280,2025-03-29,Kolkata,521,3.5
160,Chana Dal Namkeen,Snacks,16,30,480,2025-01-25,Chennai,467,3.5
161,Mathri,Snacks,17,40,680,2024-11-25,Bangalore,884,4.4
162,Soan Papdi,Sweets,11,70,770,2025-05-26,Ahmedabad,273,3.2
163,Masala Papad,Appetizers,19,10,190,2025-01-24,Lucknow,675,2.9
164,Bhel Puri,Snacks,16,35,560,2024-11-14,Hyderabad,340,3.9
165,Chana Dal Namkeen,Snacks,11,30,330,2024-10-30,Chennai,714,3.5
166,Soan Papdi,Sweets,2,70,140,2024-09-05,Hyderabad,762,4.8
167,Soan Papdi,Sweets,13,70,910,2024-08-04,Bangalore,507,2.8
168,Mathri,Snacks,11,40,440,2024-12-26,Mumbai,895,2.7
169,Chana Dal Namkeen,Snacks,1,30,30,2024-12-20,Bangalore,419,4.9
170,Navratan Mix,Snacks,16,25,400,2024-07-17,Kolkata,346,3.5
171,Navratan Mix,Snacks,11,25,275,2025-04-01,Ahmedabad,389,4.1
172,Chana Dal Namkeen,Snacks,18,30,540,2024-06-30,Delhi,632,4.1
173,Masala Papad,Appetizers,8,10,80,2025-05-12,Mumbai,444,4.4
174,Navratan Mix,Snacks,15,25,375,2024-07-24,Bangalore,710,2.6
175,Kaju Katli,Sweets,2,150,300,2024-08-10,Kolkata,367,2.9
176,Bhel Puri,Snacks,14,35,490,2025-02-10,Lucknow,698,2.9
177,Navratan Mix,Snacks,20,25,500,2024-08-13,Pune,634,3.7
178,Mathri,Snacks,5,40,200,2025-04-15,Chennai,472,3.6
179,Aloo Bhujia,Snacks,15,20,300,2025-03-03,Kolkata,693,2.7
180,Kaju Katli,Sweets,19,150,2850,2024-11-22,Kolkata,654,4.2
181,Chana Dal Namkeen,Snacks,10,30,300,2025-01-29,Chennai,393,2.8
182,Soan Papdi,Sweets,19,70,1330,2024-07-06,Hyderabad,588,4.2
183,Aloo Bhujia,Snacks,13,20,260,2024-11-08,Kolkata,8,4.2
184,Aloo Bhujia,Snacks,20,20,400,2024-11-07,Jaipur,852,3.2
185,Gulab Jamun Tin,Sweets,20,90,1800,2025-01-29,Hyderabad,224,4.1
186,Rasgulla Tin,Sweets,4,80,320,2024-12-10,Delhi,316,2.6
187,Kaju Katli,Sweets,5,150,750,2025-01-03,Mumbai,931,4.4
188,Rasgulla Tin,Sweets,7,80,560,2024-09-17,Bangalore,805,4.9
189,Bhel Puri,Snacks,17,35,595,2025-01-12,Kolkata,850,4.8
190,Chana Dal Namkeen,Snacks,10,30,300,2025-05-12,Hyderabad,823,4.9
191,Rasgulla Tin,Sweets,8,80,640,2024-06-16,Pune,990,3.9
192,Navratan Mix,Snacks,13,25,325,2025-03-03,Delhi,270,3.6
193,Masala Papad,Appetizers,19,10,190,2025-03-18,Pune,842,3.4
194,Gulab Jamun Tin,Sweets,16,90,1440,2024-07-26,Delhi,634,3.9
195,Mathri,Snacks,8,40,320,2025-03-03,Mumbai,650,4.8
196,Masala Papad,Appetizers,14,10,140,2025-05-21,Mumbai,143,
197,Aloo Bhujia,Snacks,10,20,200,2025-01-06,Jaipur,118,4.7
198,Rasgulla Tin,Sweets,13,80,1040,2025-03-30,Jaipur,379,4.4
199,Bhel Puri,Snacks,14,35,490,2024-09-23,Lucknow,760,4.7
200,Navratan Mix,Snacks,16,25,400,2025-04-06,Lucknow,417,3.2
201,Kaju Katli,Sweets,7,150,1050,2025-02-15,Jaipur,455,4.6
202,Navratan Mix,Snacks,12,25,300,2024-10-22,Ahmedabad,923,3.4
203,Soan Papdi,Sweets,9,70,630,2024-07-25,Chennai,991,4.6
204,Chana Dal Namkeen,Snacks,3,30,90,2024-10-03,Chennai,657,4.9
205,Aloo Bhujia,Snacks,11,20,220,2024-11-27,Chennai,128,3.0
206,Bhel Puri,Snacks,7,35,245,2024-08-12,Lucknow,221,3.1
207,Rasgulla Tin,Sweets,20,80,1600,2024-12-05,Delhi,283,2.9
208,Rasgulla Tin,Sweets,18,80,1440,2024-06-13,Kolkata,817,4.2
209,Aloo Bhujia,Snacks,5,20,100,2025-03-19,Delhi,366,3.1
210,Kaju Katli,Sweets,1,150,150,2025-05-18,Bangalore,271,4.4
211,Bhel Puri,Snacks,4,35,140,2025-03-18,Mumbai,487,3.4
212,Mathri,Snacks,4,40,160,2024-09-22,Jaipur,515,4.0
213,Bhel Puri,Snacks,10,35,350,2024-12-23,Jaipur,658,2.7
214,Chana Dal Namkeen,Snacks,13,30,390,2025-04-03,Pune,702,4.3
215,Chana Dal Namkeen,Snacks,3,30,90,2024-08-20,Mumbai,329,2.7
216,Masala Papad,Appetizers,20,10,200,2024-12-26,Lucknow,561,3.5
217,Mathri,Snacks,17,40,680,2025-06-01,Kolkata,464,3.6
218,Navratan Mix,Snacks,18,25,450,2024-07-23,Chennai,440,3.1
219,Kaju Katli,Sweets,15,150,2250,2025-05-16,Pune,425,3.3
220,Kaju Katli,Sweets,9,150,1350,2025-02-09,Hyderabad,976,4.8
221,Navratan Mix,Snacks,3,25,75,2024-10-05,Mumbai,95,4.4
222,Kaju Katli,Sweets,5,150,750,2025-05-04,Ahmedabad,61,3.9
223,Kaju Katli,Sweets,4,150,600,2025-02-15,Pune,362,4.9
224,Soan Papdi,Sweets,2,70,140,2024-12-26,Kolkata,614,2.8
225,Bhel Puri,Snacks,7,35,245,2025-02-03,Bangalore,672,4.6
226,Kaju Katli,Sweets,18,150,2700,2024-08-28,Hyderabad,117,3.9
227,Soan Papdi,Sweets,18,70,1260,2024-08-10,Lucknow,628,3.9
228,Mathri,Snacks,9,40,360,2024-11-04,Delhi,184,4.4
229,Kaju Katli,Sweets,12,150,1800,2025-04-04,Delhi,185,3.9
230,Soan Papdi,Sweets,3,70,210,2024-08-13,Bangalore,758,2.6
231,Bhel Puri,Snacks,7,35,245,2025-01-07,Pune,429,2.9
232,Masala Papad,Appetizers,11,10,110,2025-04-10,Lucknow,610,2.6
233,Rasgulla Tin,Sweets,20,80,1600,2025-06-05,Delhi,690,3.6
234,Soan Papdi,Sweets,16,70,1120,2025-01-03,Lucknow,452,3.0
235,Bhel Puri,Snacks,4,35,140,2025-06-03,Hyderabad,440,4.2
236,Mathri,Snacks,16,40,640,2024-06-12,Ahmedabad,683,3.1
237,Mathri,Snacks,2,40,80,2025-01-30,Delhi,209,3.0
238,Rasgulla Tin,Sweets,9,80,720,2024-10-15,Kolkata,335,3.7
239,Soan Papdi,Sweets,6,70,420,2024-12-18,Bangalore,389,3.1
240,Bhel Puri,Snacks,12,35,420,2024-06-19,Mumbai,406,2.6
241,Aloo Bhujia,Snacks,15,20,300,2024-07-25,Mumbai,882,3.6
242,Soan Papdi,Sweets,14,70,980,2025-06-07,Kolkata,117,4.9
243,Rasgulla Tin,Sweets,20,80,1600,2024-10-30,Jaipur,851,3.4
244,Soan Papdi,Sweets,4,70,280,2025-05-19,Chennai,446,3.8
245,Soan Papdi,Sweets,10,70,700,2025-04-30,Hyderabad,226,2.9
246,Bhel Puri,Snacks,4,35,140,2025-04-21,Ahmedabad,522,4.4
247,Kaju Katli,Sweets,5,150,750,2024-10-09,Chennai,105,3.0
248,Mathri,Snacks,5,40,200,2024-09-12,Mumbai,181,4.1
249,Chana Dal Namkeen,Snacks,19,30,570,2024-07-04,Lucknow,459,4.7
250,Mathri,Snacks,11,40,440,2024-09-13,Hyderabad,154,3.7
251,Masala Papad,Appetizers,9,10,90,2025-05-18,Lucknow,57,2.7
252,Chana Dal Namkeen,Snacks,15,30,450,2025-01-18,Delhi,58,3.2
253,Navratan Mix,Snacks,20,25,500,2024-07-12,Lucknow,519,4.0
254,Aloo Bhujia,Snacks,15,20,300,2024-07-15,Lucknow,667,4.0
255,Bhel Puri,Snacks,5,35,175,2025-03-23,Delhi,461,4.7
256,Kaju Katli,Sweets,3,150,450,2024-12-17,Ahmedabad,661,3.1
257,Chana Dal Namkeen,Snacks,15,30,450,2025-04-24,Ahmedabad,535,3.4
258,Masala Papad,Appetizers,13,10,130,2024-07-08,Pune,793,4.0
259,Kaju Katli,Sweets,3,150,450,2025-04-03,Hyderabad,96,3.5
260,Masala Papad,Appetizers,20,10,200,2025-01-04,Bangalore,341,4.2
261,Kaju Katli,Sweets,10,150,1500,2025-04-05,Pune,132,4.8
262,Masala Papad,Appetizers,18,10,180,2024-07-30,Pune,658,4.5
263,Bhel Puri,Snacks,3,35,105,2024-07-31,Pune,520,3.4
264,Rasgulla Tin,Sweets,7,80,560,2025-02-23,Hyderabad,970,3.0
265,Rasgulla Tin,Sweets,5,80,400,2024-12-13,Mumbai,302,2.8
266,Bhel Puri,Snacks,17,35,595,2025-01-11,Delhi,677,4.4
267,Rasgulla Tin,Sweets,20,80,1600,2024-08-15,Pune,157,4.6
268,Mathri,Snacks,6,40,240,2024-09-22,Jaipur,44,4.2
269,Gulab Jamun Tin,Sweets,15,90,1350,2025-01-02,Lucknow,291,4.5
270,Gulab Jamun Tin,Sweets,18,90,1620,2025-05-16,Chennai,316,4.5
271,Gulab Jamun Tin,Sweets,12,90,1080,2025-02-02,Lucknow,451,3.2
272,Soan Papdi,Sweets,17,70,1190,2024-11-23,Ahmedabad,428,4.5
273,Mathri,Snacks,5,40,200,2024-09-02,Kolkata,53,4.7
274,Bhel Puri,Snacks,4,35,140,2025-06-07,Ahmedabad,871,2.7
275,Rasgulla Tin,Sweets,9,80,720,2025-01-07,Jaipur,927,4.6
276,Navratan Mix,Snacks,8,25,200,2025-04-01,Jaipur,905,2.6
277,Aloo Bhujia,Snacks,13,20,260,2025-03-22,Ahmedabad,382,5.0
278,Kaju Katli,Sweets,8,150,1200,2025-03-06,Delhi,326,4.6
279,Kaju Katli,Sweets,5,150,750,2024-08-29,Bangalore,39,4.6
280,Rasgulla Tin,Sweets,16,80,1280,2025-03-15,Jaipur,630,
281,Navratan Mix,Snacks,1,25,25,2024-10-11,Kolkata,220,3.9
282,Mathri,Snacks,17,40,680,2024-11-13,Pune,113,3.1
283,Navratan Mix,Snacks,2,25,50,2025-02-27,Chennai,429,4.1
284,Navratan Mix,Snacks,4,25,100,2025-02-19,Jaipur,611,4.1
285,Mathri,Snacks,8,40,320,2024-11-04,Bangalore,298,4.0
286,Gulab Jamun Tin,Sweets,19,90,1710,2024-11-29,Pune,191,2.7
287,Kaju Katli,Sweets,3,150,450,2025-05-27,Ahmedabad,557,5.0
288,Bhel Puri,Snacks,1,35,35,2024-12-30,Pune,894,4.1
289,Kaju Katli,Sweets,9,150,1350,2024-12-04,Delhi,365,3.4
290,Navratan Mix,Snacks,19,25,475,2024-07-28,Hyderabad,136,
291,Bhel Puri,Snacks,11,35,385,2024-09-16,Bangalore,850,3.7
292,Chana Dal Namkeen,Snacks,6,30,180,2024-09-07,Bangalore,64,4.9
293,Aloo Bhujia,Snacks,10,20,200,2024-07-06,Chennai,44,4.7
294,Kaju Katli,Sweets,10,150,1500,2024-10-21,Ahmedabad,407,3.9
295,Masala Papad,Appetizers,2,10,20,2024-06-20,Chennai,292,4.5
296,Kaju Katli,Sweets,9,150,1350,2025-01-26,Mumbai,818,4.7
297,Chana Dal Namkeen,Snacks,13,30,390,2025-01-13,Hyderabad,997,4.2
298,Kaju Katli,Sweets,17,150,2550,2024-09-09,Kolkata,820,3.6
299,Soan Papdi,Sweets,20,70,1400,2025-01-26,Bangalore,558,2.8
300,Kaju Katli,Sweets,10,150,1500,2024-09-05,Kolkata,456,3.6
301,Chana Dal Namkeen,Snacks,12,30,360,2024-06-14,Jaipur,43,4.8
302,Mathri,Snacks,14,40,560,2024-07-09,Kolkata,654,4.9
303,Navratan Mix,Snacks,13,25,325,2025-03-13,Hyderabad,525,4.2
304,Aloo Bhujia,Snacks,5,20,100,2025-02-12,Lucknow,694,2.6
305,Navratan Mix,Snacks,8,25,200,2024-07-04,Hyderabad,370,3.9
306,Mathri,Snacks,5,40,200,2024-09-08,Jaipur,971,3.6
307,Navratan Mix,Snacks,19,25,475,2024-07-08,Bangalore,542,3.3
308,Masala Papad,Appetizers,8,10,80,2025-05-29,Mumbai,26,3.7
309,Soan Papdi,Sweets,18,70,1260,2024-06-24,Mumbai,268,4.3
310,Gulab Jamun Tin,Sweets,20,90,1800,2025-05-11,Kolkata,710,3.7
311,Navratan Mix,Snacks,5,25,125,2024-10-18,Mumbai,462,4.3
312,Navratan Mix,Snacks,11,25,275,2024-07-09,Hyderabad,726,3.9
313,Masala Papad,Appetizers,6,10,60,2024-12-28,Bangalore,812,3.1
314,Gulab Jamun Tin,Sweets,5,90,450,2024-09-12,Chennai,809,3.4
315,Mathri,Snacks,12,40,480,2024-09-28,Jaipur,822,2.8
316,Navratan Mix,Snacks,3,25,75,2025-02-26,Kolkata,407,4.3
317,Bhel Puri,Snacks,14,35,490,2024-12-17,Pune,843,2.8
318,Kaju Katli,Sweets,3,150,450,2024-09-03,Jaipur,477,3.4
319,Bhel Puri,Snacks,19,35,665,2025-01-07,Bangalore,786,3.6
320,Aloo Bhujia,Snacks,4,20,80,2024-08-02,Ahmedabad,156,2.9
321,Gulab Jamun Tin,Sweets,12,90,1080,2025-03-19,Ahmedabad,916,2.7
322,Gulab Jamun Tin,Sweets,18,90,1620,2025-06-10,Kolkata,128,4.0
323,Navratan Mix,Snacks,17,25,425,2025-05-20,Bangalore,606,2.9
324,Mathri,Snacks,20,40,800,2025-01-19,Hyderabad,862,2.6
325,Aloo Bhujia,Snacks,3,20,60,2025-01-21,Delhi,971,3.9
326,Gulab Jamun Tin,Sweets,19,90,1710,2024-12-12,Pune,632,3.7
327,Bhel Puri,Snacks,10,35,350,2024-09-14,Kolkata,494,4.5
328,Soan Papdi,Sweets,10,70,700,2025-04-12,Jaipur,74,2.9
329,Soan Papdi,Sweets,16,70,1120,2024-12-12,Jaipur,208,2.9
330,Kaju Katli,Sweets,12,150,1800,2025-04-21,Pune,133,3.8
331,Navratan Mix,Snacks,11,25,275,2024-11-17,Chennai,477,3.6
332,Rasgulla Tin,Sweets,4,80,320,2024-08-24,Delhi,297,4.7
333,Soan Papdi,Sweets,8,70,560,2024-07-18,Bangalore,833,3.9
334,Kaju Katli,Sweets,7,150,1050,2024-07-19,Bangalore,510,3.7
335,Masala Papad,Appetizers,16,10,160,2025-02-22,Delhi,92,3.8
336,Gulab Jamun Tin,Sweets,7,90,630,2024-11-26,Lucknow,361,
337,Masala Papad,Appetizers,16,10,160,2024-10-27,Lucknow,903,4.2
338,Masala Papad,Appetizers,18,10,180,2024-11-23,Delhi,867,2.8
339,Masala Papad,Appetizers,12,10,120,2024-11-18,Pune,374,
340,Aloo Bhujia,Snacks,19,20,380,2024-12-10,Ahmedabad,199,3.2
341,Soan Papdi,Sweets,17,70,1190,2025-05-13,Jaipur,782,4.6
342,Mathri,Snacks,20,40,800,2025-03-22,Mumbai,131,3.5
